Название компании,Вакансия,Требования по вакансии,"Город, уловия",Зарплата,Дата публикации,Ссылка на вакансию,Описание вакансии
Сбер,Data scientist,"Ученый по данным, Средний (Middle) • Git • SQL • Python • Машинное обучение • Jenkins • Базы данных",Москва • Полный рабочий день,от 200 000 ₽,24 сентября,https://career.habr.com/vacancies/1000114829,"Условия работы Команда трайба ""Особенные решения"" ПАО ""Сбербанк"" ищет профессионала на позицию Data-scientist. Наша трайб занимается сегментами клиентов, для лучшего клиентского опыта и финансового результата мы взаимодействуем с каждым сегментом по-особенному. Предстоит заниматься разработкой и внедрением ML моделей на огромной клиентской базе B2C. Построение ML моделей (включая      SOTA) на основе различных данных: NLP, GEO, графовые данные, петабайты последовательностей      событий (кликстрим, транзакции и т.д.) Совместно с командой MLE вывод      моделей в ПРОМ контур, поддержание модели в актуальном состоянии Участие в исследовании новых      данных, формировании сильных переменных, а также участвовать в развитии      Feature Store команды. Формирование эмбеддингов на основе различных данных      для улучшения текущих моделей Выдвигать data-driven      гипотезы/предложения для запуска новых механик, а также поиск инсайтов в      данных Требования: Не менее 1 года работы в качестве Data Scientist Отличное понимание Machine Learning Продвинутые знания SQL, опыт работы с Pyspark, Greenplum. Отличное знание Python Понимание и опыт АB-тестирования Высшее техническое образование Будет плюсом: Знание Scala. Опыт работы с DevOps (Jenkins), Git (BitBucket) Опыт работы по методологии Agile Условия: Возможность заниматься RnD, крупнейшее DS community Корпоративное обучение за счет компании (внутреннее и внешнее) Мощное железо, дополнительные мониторы, ноутбук Комфортный офис со спортзалом, в наличии кофе/чай и печенье Конкурентные условия труда (белая заработная плата, премии) Расширенный ДМС с первого дня работы для себя и близких Льготная ипотека (-4 пункта от рынка) и банковские продукты на специальных условиях Дополнительно Предстоит работать в большой команде D-People (60 человек, среди них выпускники МФТИ/МГУ/ВШЭ, а также мастера Kaggle) с четким разделением ролей В распоряжении команды 2 мощных Hadoop кластера, а также есть общие сервера с GPU (Tesla A100/V100), DGX-2 Бонусы Дополнительные инструкции"
VK,Android-разработчик (Почта),"Разработчик мобильных приложений, Старший (Senior) • Разработка под Android • Kotlin • Разработка мобильных приложений • Клиент-серверные приложения • Coroutines",Полный рабочий день • Можно удаленно,,24 сентября,https://career.habr.com/vacancies/1000118779,"О компании и команде Почта [Mail.ru] — крупнейший в русскоязычном сегменте сервис электронной почты. Ежемесячная аудитория проекта — 47 млн пользователей, входит в топ-5 мировых почтовых сервисов по дневной аудитории. Наша задача — соответствовать современным паттернам использования почты. Разработчику придется работать над умной организацией рассылок, решать проблемы нежелательной почты, помогать пользователю отслеживать заказы из онлайн-магазинов и поддерживать платежные системы для оплаты счетов прямо из приложения. Наша следующая цель — объединить продукты компании в рамках экосистемы. Обновленное суперприложение Почты позволит решать повседневные задачи, быть в курсе новостей, управлять своими данными и файлами, планировать встречи и вести список дел. Ожидания от кандидата От 3 лет программирования на Android (Java/Kotlin); Знание принципов ООП, SOLID, Clean Architecture; Понимание принципов многопоточного программирования; Опыт работы в команде. Условия работы Разработка новой функциональности приложения; Поддержка существующего кода; Верстка и создание новых UI компонентов; Рефакторинг; Написание unit и ui тестов. Наш стек: Kotlin, Java; MVVM LiveData, ViewModel Java Threads, Kotlin Coroutines, Flow; SQLite, ORMLite, Room JUnit, Espresso. Бонусы разнообразие проектов: соцсети, почтовые сервисы, киберспорт, игры, электронная коммерция, мессенджеры, образование, B2B ─ которые помогают миллионам пользователей работать, решать бытовые задачи, учиться и развлекаться; сложные и интересные задачи: высоконагруженные сервисы, которые задают уровень для конкурентов качеством и технологиями; быстрый рост в трендовых направлениях; амбициозные цели перед каждым проектом; экспертиза: сотрудники VK обладают передовым опытом, преподают в образовательных проектах, выступают на российских и международных конференциях; команда: вместе работаем, занимаемся спортом, участвуем в соревнованиях и отдыхаем; профессиональное развитие: организуем митапы, конференции, встречи разработчиков и тестировщиков, семинары и тренинги, куда открыт доступ каждому сотруднику; здоровье и спорт: программа ДМС доступна с первого месяца работы; поддерживаем 8 корпоративных видов спорта (футбол, баскетбол, волейбол, бег, плавание, хоккей, триатлон, настольный теннис); оборудование: мощное железо, дополнительные мониторы, специализированные гаджеты ─ все для решения масштабных задач и экспериментов; офис в 5 минутах от метро, крытый паркинг для всех сотрудников, велопарковка, а летом ─ прокат велосипедов, лонгбордов и самокатов; для поддержания иммунитета круглый год во фреш-баре овощи и фрукты; собственный тренажерный и спортивный зал в офисе; возможность работать удаленно или по гибридному графику: часть рабочего времени — в офисе, часть — дома. Мы будем рады вашему отклику и, при обоюдном интересе, предложим условия и проекты, от которых не захочется отказываться."
YADRO,Senior Software Engineer C (Linux kernel space),"Бэкенд разработчик, Старший (Senior) • Linux kernel • Linux • C • Системное программирование • Разработка программного обеспечения • RDMA • Алгоритмы и структуры данных • Git • Python • C++",Москва • Санкт-Петербург • Нижний Новгород • Полный рабочий день,,24 сентября,https://career.habr.com/vacancies/1000126046,"О компании и команде YADRO — группа российских технологических компаний, объединяющая направления разработки и производства вычислительных платформ, систем обработки и хранения данных, телекоммуникационного и сетевого оборудования. R&D центры YADRO находятся в Москве, Санкт-Петербурге и Нижнем Новгороде, производственная площадка расположена в Московской области и строится завод полного цикла. На текущий момент нас уже более 2 500 человек, и мы продолжаем активно расти и расширять команду. Сейчас мы ищем Senior Software engineer C (Linux kernel space) в департамент, занимающийся разработкой, тестированием и документированием полноценной СХД со своим SDS (Software-Defined Storage) на борту. От разработки до тестирования применяются Agile практики c элементами Waterfall. Ключевые экспертизы и вызовы: Системы хранения данных: создание и настройка кластерных систем под задачи хранения данных на различных носителях (HDD, SSD, NVMe SSD) и распространения по SAN, NAS и NVMe-oF протоколам. Распределенное кластерное приложение: создание и развитие 2х головой кластерной системы для целей отказоустойчивости системы. Разработка модулей ядра Linux: исследование и разработка ядерных модулей на уровне ядра Linux с применением принципов многопоточности. Работа с драйверами устройств различных производителей (SAS, QLogic etc.), поддержка существующих протоколов (iSER, SRP, iSCSI, NVMe-of, FC, etc.). ​​​​​ Чем Вам предстоит заниматься: Разработкой драйверов, входящих в состав ядра системы хранения данных. Мы пишем собственные модули программного RAID под дистрибутив Oracle 8.4. В основном работаем с блочной подсистемой, а также с набором стандартов SCSI, протоколами iSCSI, Fibre Channel и SAS: Изучать новые технологии, появляющихся в области систем хранения данных; Взаимодействовать с группой поддержки и сопровождения, а также оказывать третий уровень поддержки и вести переписку с разработчиками Open-Source решений, в случае возникновения баг у них. Ожидания от кандидата Опыт разработки на С не менее 3-х лет; Опыт разработки на платформе Linux (kernel space); Опыт работы с git; Опыт разработки на Python; Опыт администрирования Linux; Опыт работы с RDMA; Опыт работы с сетевыми протоколами. Условия работы Гибридный формат работы: рабочее место в комфортном лофт-офисе + удалённая работа из дома на корпоративном ноутбуке; Конкурентный уровень заработной платы (готовы по достоинству оценить ваши знания и опыт) + премирование по результатам работы."
МТС,Менеджер по работе с клиентами Cloud MTC,Менеджер по работе с клиентами • Saas • Управление проектами • Развитие бизнеса • Ведение переговоров • Информационные технологии • Английский язык,Санкт-Петербург • Нижний Новгород • Полный рабочий день,от 120 000 до 200 000 ₽,24 сентября,https://career.habr.com/vacancies/1000128294,"О компании и команде МТС – это мультисервисная цифровая экосистема. Мы создаем и развиваем сервисы в сфере мобильной связи, больших данных, искусственного интеллекта, облачного хранения, медиа и финансов – все они делают жизнь людей проще и интереснее. Сегодня мы ищем специалиста, который будет заниматься развитием существующих клиентов Cloud МТС. Чем предстоит заниматься: работать с имеющейся базой клиентов Cloud; сохранять клиентов и предотвращать их отток; общаться с ЛПР и ЛВПР; работать с техникокоммерческим предложением с привлечением профильных подразделений; осуществлять сложные расчеты по клиентам с PAYG; анализировать, мониторить рынок и новые инициативы в области облачных сервисов. Ожидания от кандидата экспертные знания в области облачных сервисов (IaaS, PaaS, SaaS), IaaS по ФЗ-152, а также смежных услуг; высшее образование; разговорный английский язык (А2); опыт переговоров с ЛПР и ЛВПР; опыт успешных продаж B2B; ведение комплексных проектов, участие в их продаже и реализации. Условия работы оклад + квартальная премия; график 5/2 с 9:00 до 18:00, в пятницу рабочий день сокращён полный соц. пакет оформление с 1-го дня по ТК Бонусы корпоративная сотовую связь; программа ДМС с первого месяца работы - это 100% покрытие расходов в частных клиниках, включая стоматологию. Застраховать близких родственников можно со скидкой 50%. Для любителей путешествий - страховка в поездках за границу. А еще есть страхование жизни; отпуск 31 календарных дней - это 28 календарных +3 дня за ненормированный рабочий день; компенсацию расходов на спорт или питание на выбор; единую подписку МТС Premium — KION light в онлайн-кинотеатре KION, сервис МТС Music, 30 дней бесплатного пользования подпиской OZON Premium; скидки и предложения от партнеров; полезные курсы и вебинары в корпоративном университете; развитие в командах профессионалов, которые готовы делиться опытом; волонтерское движение, поддержку хобби и интересов сотрудников."
Банк ПСБ,Администратор Hadoop,"Администратор баз данных, Средний (Middle) • Apache Hadoop • Linux • Java • Высоконагруженные системы",Москва • Самара • Ярославль • Полный рабочий день,,24 сентября,https://career.habr.com/vacancies/1000128293,"О компании и команде Ключевые задачи: Обеспечение бесперебойной работы и развития производственных систем; Установка, настройка, обновление производственных систем; Организация работ по исправлению выявленных недостатков; Создание технической документации для внедряемых систем; Разработка и внедрение средств мониторинга производственных систем; Поддержание кластеризованных компонентов приложения в состоянии высокой доступности; Настройка и организация CI процессов, написание pipeline; Ожидания от кандидата Опыт администрирования Unix/Linux - более трех лет; Понимание работы стека TCP/IP; Понимание процессов аутентификации и авторизации; Опыт интеграции систем с Kerberos , Ldap; Опыт работы не менее с одной вендорной сборкой Hadoop, преимущественно Arenadata; Опыт администрирования Hadoop (HDFS , Yarn, Ranger , Spark, Solr, Zookeeper); Опыт работы с системами мониторинга (Prometheus, Zabbix); Понимание современных DevOps-концепций (Jenkins, traefik, consul, etc.); Понимание технологий интеграции между системами (форматы сообщений xml, json, менеджер очередей Kafka); Понимание принципов построение отказоустойчивых сервисов в высоконагруженных системах; Умение развертывать процессы CI/CD, опыт работы с Gitlab-CI; Знания в области распределения нагрузки и масштабирования; Опыт автоматизации на скриптовых языках (shell/perl/python/etc); Условия работы График работы: возможность гибридного графика работы Официальное оформление в соответствии с ТК РФ Конкурентный уровень дохода: оклад + премии Медицинская страховка, страховка для выезжающих за границу Доплата к отпускному и больничному листу Дополнительные льготы при заключении брака и рождении детей Социальная поддержка при сложных жизненных ситуациях Льготное кредитование для сотрудников Обучение в корпоративном университете банка Корпоративная библиотека"
YADRO,Python developer / Разработчик Python (KORNFELD),"Бэкенд разработчик, Старший (Senior) • Linux • Разработка программного обеспечения • Сетевые технологии • Osi model • Switching • OSPF • BGP • Python • Git • Bash",Москва • Полный рабочий день • Можно удаленно,,24 сентября,https://career.habr.com/vacancies/1000127962,"О компании и команде YADRO — группа российских технологических компаний, объединяющая направления разработки и производства вычислительных платформ, систем обработки и хранения данных, телекоммуникационного и сетевого оборудования. Мы активно расширяем портфель наших продуктов  и в связи с этим открываем поиск Software engineer ( Python)/ Python developer в Департамент сетевых технологий. Команда Департамента занимается разработкой сетевого ethrernet-коммутатора для дата-центров ( Data Center Enterprise Switches). Проект включает в себя полный цикл разработки аппаратной и программной части. Реализация аппаратной части осуществляется с применением современной микроэлектронной элементной базы отечественного и импортного производства. Реализация программной части осуществляется с использованием стека open-source программных продуктов. Чем предстоит заниматься: Разработкой встроенного программного обеспечения сетевых ethernet-коммутаторов; Разработкой встроенного программного обеспечения сетевых ethernet-коммутаторов; Разработкой встроенного программного обеспечения сетевых ethernet-коммутаторов; Проводить анализ программных решений с открытым кодом из предметной области; Дорабатывать, осуществлять рефакторинг используемых программных решений с открытым кодом (в настоящее время код на Python составляет до 30% от общего объема); В составе команды разрабатывать с нуля внутреннюю систему мониторинга оборудования и программного обеспечения сетевых коммутаторов; Разрабатывать элементы системы управления как периферийным оборудованием коммутаторов так и коммутаторами в целом. Ожидания от кандидата Мы ожидаем от будущего члена команды: Уверенное владение Python3 в области сетевого программирования (sockets); Знание сетевых технологий, стека протоколов TCP/IP + представление о модели OSI; Знание сетевых протоколов управления (SNMP, NETCONF, RESTCONF), маршрутизации (RIP, OSPF, BGP) и др. Отличное знание Linux, опыт разработки приложений под Linux/Unix; Знание bash. Будет плюсом: опыт работы с RPC-протоколами (JSON-RPC, gRPC), REST; опыт работы с форматами данных JSON, XML, YAML; опыт написания unit-тестов с использованием pytest; опыт асинхронного программирования (asyncio); опыт написания документации с использованием фреймворка Sphinx; опыт написания парсеров для структурированных файлов. опыт работы с Docker контейнерами. Условия работы Приглашаем стать частью амбициозной продуктовой компании, вносящей вклад в мировое инженерное сообщество, а также ежегодно увеличивающей долю рынка и финансовые показатели. ЗАБОТА О ЗДОРОВЬЕ: ДМС с первых дней работы, льготные условия страхования близких; ОБУЧЕНИЕ И РАЗВИТИЕ: учебный портал с курсами и лекциями от экспертов, английский, участие в топовых конференциях, профильное обучение за счёт компании;. ПОДДЕРЖКА В ЛИЧНЫХ ВОПРОСАХ: консультации юристов, психологов, экспертов по ЗОЖ и управлению финансами. Бонусы ПРОГРАММА ПОДДЕРЖКИ ИННОВАЦИЙ: премии за научные достижения, публикацию статей, выступления на конференциях и регистрацию патентов; Конкурентный уровень заработной платы (готовы по достоинству оценить ваши знания и опыт) + премирование по результатам работы."
Hoff Tech,Системный администратор,"Системный администратор, Средний (Middle) • Osi model • DNS • DHCP • Active directory • Администрирование Windows • Системное администрирование • Администрирование серверов • Администрирование почтовых серверов • Администрирование сетей • Asterisk",Екатеринбург • Полный рабочий день,,24 сентября,https://career.habr.com/vacancies/1000121784,"Условия работы Hoff Tech - аккредитованная ИТ-компания, которая занимается разработкой продуктов для One Retail. Основной заказчик – сеть мебельных гипермаркетов Hoff, насчитывающая более 60 магазинов по всей территории России.. Сейчас мы в поисках коллег в большую распределенную команду системного администрирования. Наша команда отвечает за сеть и сетевое оборудование, сервера – как bare-metal, так и кластера VMware, поддержку операционных систем – Windows, Linux, MacOS, настройку основных элементов инфраструктуры – Active Directory, Exchange, SCCM, файловый и терминальные сервера, обслуживающих ее элементов – Zabbix, ELK, Prometeus/Grafana, Veeam backup, Kubernetes, Gitlab, а также автоматизацию с помощью Powershell, Ansible, Puppet. Почему стоит выбрать нас? Масштабная территориально распределенная инфраструктура; Работа с современными технологиями, железом и программным обеспечением; Возможность обучения в рамках рабочего времени; Большая команда экспертов, всегда готовых помочь; При успешной работе – перспективы профессионального развития – реализация масштабных проектов в рамках серверной инфраструктуры (развитие и экспертная оценка сети, сервера, IP-телефонии, системы бесшовного wifi); Проработанная система грейдов – системный администратор – старший администратор – ведущий – руководитель группы – руководитель отдела; Развитая корпоративная жизнь – ежегодные командные слеты и совместные путешествия. Чем предстоит заниматься: Обслуживание внешнего склада Hoff - профилактика, тех обслуживание, решение локальных задач; Поддержка других объектов в формате единого helpdesk - удаленная помощь пользователям, решение проблем, связанных с работой оборудования и программного обеспечения, проверка показателей системы мониторинга; Участие в проектах улучшения ИТ-инфраструктуры и работа в командах по развитию внутренних сервисов. Необходимые навыки: Опыт работы в области IT не менее 1 года; Основы сети – модель OSI (TCP/IP), VLAN, NAT, статическая маршрутизация, протоколы TCP/UDP, DHCP, основы работы DNS; Клиентская и серверная OС Microsoft на уровне администратора и инструменты диагностики; Active Directory – авторизация и аутентификация пользователя, взаимодействие клиента и контроллера домена, обработка групповых политик; Опыт работы с оргтехникой и знание механики лазерной печати. Будет плюсом: Опыт работы с торговым оборудованием и термопринтерами; Администрирования Unix систем; Написания скриптов на Powershell или Python. Мы предлагаем: Полностью «белую» заработную плату (оклад + квартальный бонус); График 5/2: 9:00-18:00 или 10:00-19:00 плавающие выходные; Очный формат работы; Оборудование для работы; Расширенный социальный пакет: ДМС, включающая стоматологию, полис для выезжающих за рубеж; льготные условия оформления страховки для членов семьи; Корпоративные скидки для сотрудников от компаний-партнеров (фитнес, иностранные языки, путешествия, скидки на товары сети Hoff и т.д.). Дополнительные инструкции Привет, будущий коллега! Мы рады, что ты обратил внимание на нашу вакансию :) Попасть в нашу команду очень просто: - оставь отклик на вакансию; - пообщайся с нашим IT рекрутером и расскажи о себе; - пройди техническое интервью; - познакомься с нашим техническим директором; - прими наш оффер ;) Присоединяйся к нашей дружной команде, с нами интересно!"
